pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434487.909424022] [ai_flight_node]: [tick 003545] /ai/action -> vx=+0.461, vy=-0.275, vz=+0.418, speed=+0.425   [24.27 ms]
[INFO] [1760434488.009619557] [ai_flight_node]: [tick 003546] /ai/action -> vx=+0.461, vy=-0.275, vz=+0.418, speed=+0.425   [24.35 ms]
[INFO] [1760434488.112584120] [ai_flight_node]: [tick 003547] /ai/action -> vx=+0.462, vy=-0.274, vz=+0.418, speed=+0.425   [27.58 ms]
[INFO] [1760434488.211596232] [ai_flight_node]: [tick 003548] /ai/action -> vx=+0.463, vy=-0.274, vz=+0.417, speed=+0.425   [26.53 ms]
[INFO] [1760434488.314012052] [ai_flight_node]: [tick 003549] /ai/action -> vx=+0.463, vy=-0.274, vz=+0.417, speed=+0.425   [28.91 ms]
[INFO] [1760434488.410782525] [ai_flight_node]: [tick 003550] /ai/action -> vx=+0.465, vy=-0.273, vz=+0.416, speed=+0.425   [25.76 ms]
[INFO] [1760434488.512747048] [ai_flight_node]: [tick 003551] /ai/action -> vx=+0.465, vy=-0.273, vz=+0.416, speed=+0.425   [26.89 ms]
[INFO] [1760434488.613405442] [ai_flight_node]: [tick 003552] /ai/action -> vx=+0.466, vy=-0.272, vz=+0.415, speed=+0.426   [28.17 ms]
[INFO] [1760434488.710271590] [ai_flight_node]: [tick 003553] /ai/action -> vx=+0.466, vy=-0.272, vz=+0.415, speed=+0.426   [25.30 ms]
[INFO] [1760434488.812164083] [ai_flight_node]: [tick 003554] /ai/action -> vx=+0.466, vy=-0.272, vz=+0.415, speed=+0.426   [27.26 ms]
[INFO] [1760434488.910382090] [ai_flight_node]: [tick 003555] /ai/action -> vx=+0.467, vy=-0.271, vz=+0.414, speed=+0.426   [25.19 ms]
[INFO] [1760434489.010925329] [ai_flight_node]: [tick 003556] /ai/action -> vx=+0.467, vy=-0.271, vz=+0.414, speed=+0.426   [25.44 ms]
[INFO] [1760434489.111630231] [ai_flight_node]: [tick 003557] /ai/action -> vx=+0.469, vy=-0.271, vz=+0.414, speed=+0.426   [26.41 ms]
[INFO] [1760434489.209670427] [ai_flight_node]: [tick 003558] /ai/action -> vx=+0.465, vy=-0.291, vz=+0.415, speed=+0.424   [24.53 ms]
[INFO] [1760434489.303671246] [ai_flight_node]: [tick 003559] /ai/action -> vx=+0.465, vy=-0.291, vz=+0.415, speed=+0.424   [16.86 ms]
[INFO] [1760434489.410252378] [ai_flight_node]: [tick 003560] /ai/action -> vx=+0.467, vy=-0.289, vz=+0.415, speed=+0.424   [25.19 ms]
